,work_id,name,artist_id,style,museum_id,subject
1323,2060,Bouquet of Sunflowers,550,8,35,6
1324,2062,Bridge at Argenteuil on a Gray Day,550,8,46,5
1325,2064,Bridge Over a Pond of Water Lilies,550,8,35,27
1326,2066,Burgo Marina at Bordighera,550,8,"",16
1327,2068,Cabin of the Customs Watch,550,8,35,16
1328,2070,"Calm Weather, Fecamp",550,8,"",16
1329,2072,"Camille Monet at the Window, Argenteuil",550,8,"",15
1330,2074,Camille Monet in the Garden at Argenteuil,550,8,35,15
1331,2076,Camille Monet on a Garden Bench,550,8,35,15
1332,2082,Charing Cross Bridge II,550,8,56,5
1333,2084,"Charing Cross Bridge, Overcast Weather",550,8,68,5
1334,2086,"Charing Cross Bridge, Reflections on the Thames",550,8,"",5
1335,2090,"Charing Cross Bridge, the Thames II",550,8,"",5
1336,2088,"Charing Cross Bridge, the Thames",550,8,"",5
1337,2080,Charing Cross Bridge,550,8,69,5
1338,2092,Chrysanthemums,550,8,35,6
1339,2094,Cliffs at Dieppe,550,8,"",16
1340,2096,Cliffs of Les Petites-Dalles,550,8,"",16
1341,2098,Clifftop Walk at Pourville,550,8,68,7
1342,208300,Coast of Normandy,550,8,67,16
1343,2264,Contarini Palace,550,8,"",5
1344,2100,"Customhouse, Varengeville",550,8,67,16
1345,2102,Dr. Leclenche,550,8,35,""
1346,2104,Entrance to the Port of Trouville,550,8,52,5
1347,2106,"Étretat, Setting Sun",550,8,"",16
1348,2108,"Étretat, the Beach and the Porte d"Aval",550,8,"",16
1349,2110,"Exterior of Saint-Lazare Station, Sunlight Effect",550,8,"",""
1350,2112,Field of Corn,550,8,"",""
1351,2114,Field of Flowers and Windmills Near Leiden,550,8,"",6
1352,2118,"Field of Poppies, Argenteuil",550,8,49,""
1353,2116,Field of Poppies,550,8,"",""
1354,2122,Fishing Boats Leaving the Port of Le Havre,550,8,60,""
1355,2120,Fishing Boats,550,8,"",16
1356,2124,Fishing Nets at Pourville,550,8,"",16
1357,2126,Flower Beds at Vétheuil,550,8,"",6
1358,2196,Flower Island Near Vétheuil,550,8,35,""
1359,2128,Flowering Plum Trees,550,8,"",""
1360,2130,Flowers at Vétheuil,550,8,"",15
1361,2132,Four Poplar Trees,550,8,35,""
1362,205446,Gardener"s House at Antibes,550,8,53,""
1363,198264,Girl with Dog,550,8,51,20
1364,2134,Giverny in Springtime,550,8,"",7
1365,2136,Grainstack at Sunset,550,8,"",""
1366,2138,"Grainstack, Sun in the Mist",550,8,"",""
1367,192390,"Grainstacks at the End of Summer, Morning Effect",550,"","",""
1368,2146,"Grainstacks at the End of Summer, Morning Effect",550,8,68,22
1369,2148,"Grainstacks in the Sunlight, Midday",550,8,"",""
1370,2150,"Grainstacks, Sunset",550,8,"",""
1371,2154,"Grainstacks, White Frost Effect",550,8,"",9
1372,2152,"Grainstacks, White Frost Effect",550,8,35,9
1373,2140,Grainstacks,550,8,68,""
1374,208110,Grand Canal Legion of Honor,550,8,65,5
1375,2156,"Green Park, London",550,8,67,""
1376,2158,"Hauling a Boat Ashore, Honfleur",550,8,"",16
1377,2160,Haystack at Giverny,550,8,34,22
1378,2166,Haystacks at Giverny,550,8,"",""
1379,2164,Haystacks at Giverny,550,8,"",""
1380,2162,Haystacks,550,8,"",""
1381,2168,Heavy Sea at Pourville,550,8,35,16
1382,2170,"Hotel of Roches Noires, Trouville",550,8,49,""
1383,2172,Houses Along the Zaan at Zaandam,550,8,"",5
1384,2176,"Houses of Parliament, Fog Effect",550,8,"",""
1385,2174,"Houses of Parliament, Fog Effect",550,8,35,""
1386,2178,"Houses of Parliament, London",550,8,49,""
1387,2180,"Houses of Parliament, Seagulls",550,8,31,""
1388,2182,"Houses of Parliament, Stormy Sky",550,8,"",""
1389,2184,"Houses of Parliament, Sunlight Effect",550,8,"",""
1390,2188,"Houses of Parliament, London",550,8,68,""
1391,2386,Garden at Sainte-Adresse,550,8,35,16
1392,2396,"Étretat, The Beach and the Falaise d’Amont",550,8,68,16
1393,29270,A House with Flowering Trees,570,8,35,15
1394,125516,"Afternoon Sun, Crimea",570,8,"",""
1395,29272,Bougainvillea on Capri,570,8,35,""
1396,125480,Capri,570,8,"",""
1397,125197,"Chickens on the Terrace, Capri",570,8,"",""
1398,125295,Coastal Seascape,570,8,"",16
1399,125208,Flowers by the Lake,570,8,"",5
1400,125219,Late Afternoon Glow,570,8,"",9
1401,125251,Maine Seascape,570,8,"",16
1402,125240,Maine Seascape,570,8,"",16
1403,125262,Maine,570,8,"",6
1404,125273,"Mont Blanc, Switzerland",570,8,34,9
1405,125489,Pereyaslavl,570,8,"",""
1406,125498,Rocky Seascape,570,8,34,16
1407,125284,Rocky Shore,570,8,"",16
1408,125339,Seascape,570,8,"",16
1409,125350,Seascape,570,8,"",16
1410,125361,Seascape,570,8,"",16
1411,125372,"Set Design for Prince Igor, The Market Place of Poutivle",570,8,"",""
1412,125383,Snowy Mountainscape,570,8,"",9
1413,125507,The Flower Market,570,8,"",6
1414,125394,The Woods in Winter,570,8,"",9
1415,125405,Veranda in Capri,570,8,30,""
1416,125306,Village Winter Scene,570,8,31,9
1417,125317,Winter Brook,570,8,"",9
1418,125471,Winter in Chamoni,570,8,31,9
1419,125328,Winter in the Forest,570,8,"",9
1420,125427,Winter Landscape,570,8,"",9
1421,125438,Winter Sunlight,570,8,"",9
1422,125449,Winter Sunset,570,8,"",9
1423,160753,"The Zuiderhavendijk, Enkhuizen",509,"",43,8
1424,160388,View of The Hague from the Delftse Vaart in the Seventeenth Century,509,"",43,8
1425,160396,View of The Hague,509,"",43,8
1426,193949,A Couple Making Music,867,10,35,17
1427,193926,Alexander the Great at the Battle of the Granicus against the Persians,867,10,43,""
1428,193880,An Amsterdam Canal House Garden,867,10,43,15
1429,193917,Family Group near a Harpsichord,867,10,43,""
1430,193862,"Gerrit Sichterman, Quartermaster-General of the Cavalry, Colonel of the Oranje-Groningen Infantry Regiment",867,10,43,""
1431,193853,"Gerrit Sichterman, Quartermaster-General of the Cavalry, Colonel of the Oranje-Groningen Infantry Regiment",867,10,43,""
1432,193958,Inspection of a Cavalry Regiment by William of Hesse-Homburg,867,10,35,""
1433,193942,Inspectors of the Collegium Medicum in Amsterdam,867,10,43,""
1434,193935,Johanna and the Jewish Merchants,867,10,43,""
1435,193910,"Misled, The Ambassador of the Rascals Exposes Himself from the Window of Bokki Tavern in the Haarlemmerhout",867,10,43,""
1436,193844,Portrait of a Man,867,10,43,""
1437,193871,Portrait of a Member of the Van der Mersch Family,867,10,43,""
1438,193835,"Portrait of Isaac Sweers, Chief Officer of Amsterdam and Governor of the Dutch East India Company",867,10,43,""
1439,193896,"Portrait of Jan Lepeltak, Timber Merchant in Amsterdam, Regent of the Aalmoezeniersweeshuis Orphanage",867,10,43,""
1440,193817,"Portrait of Louise Christina Trip, Wife of Gerrit Sichterman",867,10,43,""
1441,193826,"Portrait of Maria Magdalena Stavenisse, Wife of Jacob de Witte of Elkerzee, Councilor of Zierikzee",867,10,43,""
1442,193808,"Portrait of the Physician Herman Boerhaave, Professor at the University of Leiden",867,10,43,""
1443,193799,Self-Portrait,867,10,43,""
1444,193889,"Unseemly Love, from the play &quot;De Wanhebbelijke Liefde&quot; by CJ van der Lijn",867,10,43,25
1445,188463,"Dirck Volkertsz Coornhert, Writer and Engraver",914,0,"",""
1446,188473,Pomona Receiving the Harvest of Fruit,914,0,"",""
1447,160380,The Fall of Man,914,0,43,""
1448,167358,The Massacre of the Innocents,914,0,43,""
1449,27880,A Field of Flowers,915,11,"",6
1450,27882,"A Garden Above the Seine, Rolleboise",915,11,"",5
1451,171874,A Halt,915,11,"",""
